# radius [cm] surface density [g/cm^2]
1.496000000000000000e+13 1.096085274591790267e+03
1.504645172329585156e+13 1.089690662738466926e+03
1.513340303886849219e+13 1.083332800757875930e+03
1.522085683379100977e+13 1.077011477547061531e+03
1.530881601182046484e+13 1.070726483216267980e+03
1.539728349349432422e+13 1.064477609081970058e+03
1.548626221622743750e+13 1.058264647659943876e+03
1.557575513440953906e+13 1.052087392658379031e+03
1.566576521950338281e+13 1.045945638971026028e+03
1.575629546014337305e+13 1.039839182670389391e+03
1.584734886223481445e+13 1.033767821000953745e+03
1.593892844905371289e+13 1.027731352372453102e+03
1.603103726134716211e+13 1.021729576353176299e+03
1.612367835743429102e+13 1.015762293663312676e+03
1.621685481330783398e+13 1.009829306168335393e+03
1.631056972273624609e+13 1.003930416872421119e+03
1.640482619736643555e+13 9.980654299119106554e+02
1.649962736682707812e+13 9.922341505488046778e+02
1.659497637883253320e+13 9.864363851642972350e+02
1.669087639928734766e+13 9.806719412523484607e+02
1.678733061239138672e+13 9.749406274132910539e+02
1.688434222074555664e+13 9.692422533474755255e+02
1.698191444545814453e+13 9.635766298489512565e+02
1.708005052625176562e+13 9.579435687991848454e+02
1.717875372157092578e+13 9.523428831608132441e+02
1.727802730869023438e+13 9.467743869714329321e+02
1.737787458382318945e+13 9.412378953374269486e+02
1.747829886223165625e+13 9.357332244278234157e+02
1.757930347833592188e+13 9.302601914681929429e+02
1.768089178582541797e+13 9.248186147345797963e+02
1.778306715777007422e+13 9.194083135474669461e+02
1.788583298673230859e+13 9.140291082657786319e+02
1.798919268487968750e+13 9.086808202809130535e+02
1.809314968409820312e+13 9.033632720108138301e+02
1.819770743610622266e+13 8.980762868940734052e+02
1.830286941256913281e+13 8.928196893840682833e+02
1.840863910521455469e+13 8.875933049431336030e+02
1.851502002594832422e+13 8.823969600367647672e+02
1.862201570697107812e+13 8.772304821278572717e+02
1.872962970089554688e+13 8.720936996709764344e+02
1.883786558086450000e+13 8.669864421066622526e+02
1.894672694066939844e+13 8.619085398557659801e+02
1.905621739486971875e+13 8.568598243138187627e+02
1.916634057891296094e+13 8.518401278454340400e+02
1.927710014925535156e+13 8.468492837787412100e+02
1.938849978348327734e+13 8.418871263998507857e+02
1.950054318043537500e+13 8.369534909473520656e+02
1.961323406032533203e+13 8.320482136068438876e+02
1.972657616486543750e+13 8.271711315054927809e+02
1.984057325739080469e+13 8.223220827066265883e+02
1.995522912298432031e+13 8.175009062043575341e+02
2.007054756860233594e+13 8.127074419182349629e+02
2.018653242320107031e+13 8.079415306879308218e+02
2.030318753786372266e+13 8.032030142679545861e+02
2.042051678592837109e+13 7.984917353223992222e+02
2.053852406311656250e+13 7.938075374197157998e+02
2.065721328766266406e+13 7.891502650275207316e+02
2.077658840044397266e+13 7.845197635074301843e+02
2.089665336511155078e+13 7.799158791099260952e+02
2.101741216822183594e+13 7.753384589692510644e+02
2.113886881936902734e+13 7.707873510983312144e+02
2.126102735131817969e+13 7.662624043837319050e+02
2.138389182013914844e+13 7.617634685806374364e+02
2.150746630534122656e+13 7.572903943078645170e+02
2.163175491000861719e+13 7.528430330429002879e+02
2.175676176093667188e+13 7.484212371169717244e+02
2.188249100876890625e+13 7.440248597101423229e+02
2.200894682813481641e+13 7.396537548464365273e+02
2.213613341778849219e+13 7.353077773889926902e+02
2.226405500074803125e+13 7.309867830352440023e+02
2.239271582443574609e+13 7.266906283121275010e+02
2.252212016081921484e+13 7.224191705713188867e+02
2.265227230655310938e+13 7.181722679844964432e+02
2.278317658312185156e+13 7.139497795386324697e+02
2.291483733698311719e+13 7.097515650313094966e+02
2.304725893971214453e+13 7.055774850660660604e+02
2.318044578814689062e+13 7.014274010477671482e+02
2.331440230453401562e+13 6.973011751780029499e+02
2.344913293667570703e+13 6.931986704505127364e+02
2.358464215807737891e+13 6.891197506466360210e+02
2.372093446809621484e+13 6.850642803307883923e+02
2.385801439209052344e+13 6.810321248459658818e+02
2.399588648157003125e+13 6.770231503092721823e+02
2.413455531434699219e+13 6.730372236074741750e+02
2.427402549468819141e+13 6.690742123925811029e+02
2.441430165346781250e+13 6.651339850774508022e+02
2.455538844832122266e+13 6.612164108314188979e+02
2.469729056379958984e+13 6.573213595759559666e+02
2.484001271152544922e+13 6.534487019803473231e+02
2.498355963034912109e+13 6.495983094573995231e+02
2.512793608650609766e+13 6.457700541591689216e+02
2.527314687377524219e+13 6.419638089727183115e+02
2.541919681363800781e+13 6.381794475158949353e+02
2.556609075543850000e+13 6.344168441331339636e+02
2.571383357654450391e+13 6.306758738912860736e+02
2.586243018250940625e+13 6.269564125754701536e+02
2.601188550723510938e+13 6.232583366849463573e+02
2.616220451313583203e+13 6.195815234290173521e+02
2.631339219130288281e+13 6.159258507229493489e+02
2.646545356167037891e+13 6.122911971839198486e+02
2.661839367318192578e+13 6.086774421269852837e+02
2.677221760395825391e+13 6.050844655610751488e+02
2.692693046146585547e+13 6.015121481850060263e+02
2.708253738268652734e+13 5.979603713835215331e+02
2.723904353428796484e+13 5.944290172233527301e+02
2.739645411279530859e+13 5.909179684493021796e+02
2.755477434476367969e+13 5.874271084803506255e+02
2.771400948695172266e+13 5.839563214057853884e+02
2.787416482649614062e+13 5.805054919813518381e+02
2.803524568108726172e+13 5.770745056254263545e+02
2.819725739914558984e+13 5.736632484152111147e+02
2.836020535999938281e+13 5.702716070829524142e+02
2.852409497406329688e+13 5.668994690121776330e+02
2.868893168301799219e+13 5.635467222339572118e+02
2.885472095999084375e+13 5.602132554231855011e+02
